hashtag,corr_1st_quarter,corr_3rd_quarter,corr_new_moon,corr_full_moon
beautiful,0.10763398071182363,0.2343826635749016,0.06225402440096576,0.37677883560216835
beer,0.1594502533816416,0.18643960460170056,0.19943841973881776,0.20829809308895855
birthday,0.2203605302611091,0.08849607629583163,0.03579290013988913,0.3191823103870751
challenge,0.058557757980289796,0.12071979567675568,0.055526177978760125,0.010105085775689734
competition,0.010108923306934161,0.40301310156474573,0.14551590052868135,0.24066267335623895
Dublin,0.3041920073835494,0.12078465390933274,0.020000500317272435,0.14864528912693345
food,0.04154290098476717,0.2543322306968847,0.11608849103272982,0.09761545025922655
foodie,0.05256440818083049,0.1061089677742784,0.044801650891660987,0.10850161654018484
happy,0.26644542770361995,0.14378098937601014,0.3183578845086425,0.1761460189598452
healthy,,,,
ireland,0.051890338089172504,0.003981994309987564,0.09487465602645272,0.03363707448367835
work,0.052177615407378176,0.1361317384026871,0.14862989301169663,0.21409292218019788
